course_code,course_name,program,level,semester,prerequisites,credits
ENG101,English 1,Computer Science,Freshman,First,,2
BMT111,Calculus,Computer Science,Freshman,First,,3
BMT112,Discrete Mathematics,Computer Science,Freshman,First,,3
BPH111,Physics,Computer Science,Freshman,First,,3
CSC111,Computing Fundamentals,Computer Science,Freshman,First,,3
PSC110,Human Rights,Computer Science,Freshman,First,,2
ENG102,English 2,Computer Science,Freshman,Second,ENG101,2
BMT121,Differential Equations,Computer Science,Freshman,Second,BMT111,3
CSC121,Structured Programming,Computer Science,Freshman,Second,CSC111,3
CPS121,Communication Skills and Report Writing,Computer Science,Freshman,Second,ENG101,2
BMT122,Probability and Statistics,Computer Science,Freshman,Second,BMT111,3
CSC122,Logic Design,Computer Science,Freshman,Second,BMT112,3
CPS211,Ethics and Social Impacts of Computing,Computer Science,Sophomore,Third,,2
CSC211,Object Oriented Programming,Computer Science,Sophomore,Third,CSC121,3
BPH211,Advanced Physics,Computer Science,Sophomore,Third,BPH111,3
BMT212,Linear Algebra,Computer Science,Sophomore,Third,BMT121,3
HUM-ELECTIVE-1,Humanities and Ethics Elective,Computer Science,Sophomore,Third,,2
BMT211,Advanced Probability and Statistics,Computer Science,Sophomore,Third,BMT122,3
CSC221,Advanced Programming,Computer Science,Sophomore,Fourth,CSC211,3
CSC222,Data Structures,Computer Science,Sophomore,Fourth,CSC211,3
CSC223,Software Engineering -1,Computer Science,Sophomore,Fourth,CSC211,3
CSS221,Computer Networks,Computer Science,Sophomore,Fourth,CSC111 and BMT112,3
ISI222,Database Systems -1,Computer Science,Sophomore,Fourth,CSC121,3
ISI311,Modeling and Simulation,Computer Science,Junior,Fifth,BMT122,3
CSA311,Artificial Intelligence Fundamentals,Computer Science,Junior,Fifth,CSC211,3
CSS312,Computers and Information Security,Computer Science,Junior,Fifth,CSS221,3
CSC311,Operating Systems - 1,Computer Science,Junior,Fifth,,3
CSC312,Analysis and Design of Algorithms,Computer Science,Junior,Fifth,CSC222,3
CSC313,Software Engineering - 2,Computer Science,Junior,Fifth,CSC223,3
CSC326,Web Applications Development,Computer Science,Junior,Sixth,CSC211 and ISI222,3
CSC322,Operating Systems - 2,Computer Science,Junior,Sixth,CSC311,3
CSC323,Computer Architecture,Computer Science,Junior,Sixth,CSC122,3
CSC324,Theory of Computations,Computer Science,Junior,Sixth,BMT112,3
CSC325,Computer Organization and Assembly Language,Computer Science,Junior,Sixth,CSC121 and CSC122,3
CS-ELECTIVE-1,Computer Science Program Elective -1,Computer Science,Junior,Sixth,Depends on selected elective,3
TR333,Summer Training,Computer Science,Junior,Summer,,3
PR498,Project - 1,Computer Science,Senior,Seventh,CSC223,3
CSC411,Cloud Computing,Computer Science,Senior,Seventh,CSC223 and CSS221,3
CSC412,Embedded Systems,Computer Science,Senior,Seventh,CSC323,3
CS-ELECTIVE-2,Computer Science Program Elective - 2,Computer Science,Senior,Seventh,Depends on selected elective,3
CS-ELECTIVE-3,Computer Science Program Elective - 3,Computer Science,Senior,Seventh,Depends on selected elective,3
PR499,Project - 2,Computer Science,Senior,Eighth,PR498,3
DMT323,Computer Graphics,Computer Science,Senior,Eighth,BMT212,3
CSC422,Concepts of Programming Languages,Computer Science,Senior,Eighth,CSC221,3
CS-ELECTIVE-4,Computer Science Program Elective - 4,Computer Science,Senior,Eighth,Depends on selected elective,3
CS-ELECTIVE-5,Computer Science Program Elective - 5,Computer Science,Senior,Eighth,Depends on selected elective,3
